date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_tries,away_tries
1967-12-02,Scotland,New Zealand,3,14,1967 New Zealand tour,Edinburgh,Scotland,False,,
1968-01-13,Scotland,France,6,8,1968 Five Nations Championship,Edinburgh,Scotland,False,,
1968-01-20,England,Wales,11,11,1968 Five Nations Championship,London,England,False,,
1968-01-27,France,Ireland,16,6,1968 Five Nations Championship,Paris,France,False,,
1968-02-03,Wales,Scotland,5,0,1968 Five Nations Championship,Cardiff,Wales,False,,
1968-02-10,England,Ireland,9,9,1968 Five Nations Championship,London,England,False,,
1968-02-24,France,England,14,9,1968 Five Nations Championship,Colombes,France,False,,
1968-02-24,Ireland,Scotland,14,6,1968 Five Nations Championship,Dublin,Ireland,False,,
1968-03-09,Ireland,Wales,9,6,1968 Five Nations Championship,Dublin,Ireland,False,,
1968-03-16,Scotland,England,6,8,1968 Five Nations Championship,Edinburgh,Scotland,False,,
1968-03-23,Wales,France,9,14,1968 Five Nations Championship,Cardiff,Wales,False,,
1968-06-15,Australia,New Zealand,11,27,1968 New Zealand tour of Australia,Sydney,Australia,False,,
1968-06-22,Australia,New Zealand,18,19,1968 New Zealand tour of Australia,Brisbane,Australia,False,,
1968-07-13,New Zealand,France,12,9,1968 French tour of New Zealand,Christchurch,New Zealand,False,,
1968-07-27,New Zealand,France,9,3,1968 French tour of New Zealand,Wellington,New Zealand,False,,
1968-08-10,New Zealand,France,19,12,1968 French tour of New Zealand,Auckland,New Zealand,False,,
1968-08-17,Australia,France,11,10,1968 France tour of New Zealand and Australia,Sydney,Australia,False,,
1968-10-26,Ireland,Australia,10,3,1968 Australia tour of Great Britain and Ireland,Dublin,Ireland,False,,
1968-11-06,Scotland,Australia,9,3,1968 Australia tour of Great Britain and Ireland,Edinburgh,Scotland,False,,
1968-11-09,France,South Africa,9,12,1968 South Africa rugby union tour of France,Bordeaux,France,False,,
1968-11-16,France,South Africa,11,16,1968 South Africa rugby union tour of France,Colombes,France,False,,
1969-01-11,France,Scotland,3,6,1969 Five Nations Championship,Colombes,France,False,,
1969-01-25,Ireland,France,17,9,1969 Five Nations Championship,Dublin,Ireland,False,,
1969-02-01,Scotland,Wales,3,17,1969 Five Nations Championship,Edinburgh,Scotland,False,,
1969-02-08,Ireland,England,17,15,1969 Five Nations Championship,Dublin,Ireland,False,,
1969-02-22,England,France,22,8,1969 Five Nations Championship,London,England,False,,
1969-02-22,Scotland,Ireland,0,16,1969 Five Nations Championship,Edinburgh,Scotland,False,,
1969-03-08,Wales,Ireland,24,11,1969 Five Nations Championship,Cardiff,Wales,False,,
1969-03-15,England,Scotland,8,3,1969 Five Nations Championship,London,England,False,,
