data_through,n_sims,group,team,exp_points,exp_pdiff,p_win_pool,p_runner_up,p_third,p_fourth,p_third_advance,p_R16,p_QF,p_SF,p_final,p_champion,p_bronze
2026-09-05,50000,B,South Africa,14.5124,138.4937,0.9724,0.0274,0.0002,0.0,0.0002,1.0,0.9785,0.6052,0.4694,0.3526,0.1082
2026-09-05,50000,A,New Zealand,13.4206,105.9271,0.7487,0.2504,0.0009,0.0,0.0009,1.0,0.9741,0.4848,0.3566,0.2373,0.0926
2026-09-05,50000,F,England,14.082,116.4441,0.9141,0.0847,0.0012,0.0,0.0012,1.0,0.8983,0.5681,0.3511,0.1237,0.107
2026-09-05,50000,E,France,14.3388,115.9623,0.9757,0.0236,0.0006,0.0,0.0006,1.0,0.6805,0.6267,0.1947,0.1137,0.2862
2026-09-05,50000,D,Ireland,12.7987,86.1572,0.6271,0.3688,0.0041,0.0,0.0041,0.9999,0.7386,0.516,0.2394,0.0705,0.1343
2026-09-05,50000,A,Australia,10.8669,57.8619,0.2511,0.7244,0.0237,0.0008,0.0229,0.9985,0.9452,0.3492,0.1486,0.0446,0.071
2026-09-05,50000,D,Scotland,11.3672,59.5589,0.3722,0.6055,0.0211,0.0013,0.0205,0.9981,0.5436,0.4633,0.154,0.0405,0.1232
2026-09-05,50000,C,Argentina,13.0703,87.7821,0.8089,0.1602,0.0307,0.0002,0.0306,0.9997,0.8745,0.3136,0.0802,0.0168,0.0729
2026-09-05,50000,F,Wales,9.3913,25.7852,0.084,0.8048,0.1017,0.0095,0.0957,0.9845,0.6651,0.0328,0.0032,0.0001,0.0023
2026-09-05,50000,B,Italy,8.861,20.047,0.0268,0.8045,0.1633,0.0054,0.1539,0.9852,0.1513,0.019,0.0022,0.0001,0.0016
2026-09-05,50000,E,Japan,6.648,-17.4458,0.0152,0.4974,0.3404,0.147,0.2832,0.7958,0.0523,0.004,0.0002,0.0,0.0002
2026-09-05,50000,C,Fiji,8.8131,19.6225,0.1307,0.5603,0.289,0.0201,0.2759,0.9669,0.2393,0.0065,0.0002,0.0,0.0002
2026-09-05,50000,B,Georgia,5.3828,-39.5951,0.0008,0.1636,0.7445,0.091,0.5522,0.7166,0.036,0.0046,0.0001,0.0,0.0001
2026-09-05,50000,A,Chile,3.2031,-77.288,0.0001,0.0199,0.5648,0.4152,0.2418,0.2618,0.0397,0.001,0.0,0.0,0.0
2026-09-05,50000,F,Tonga,5.0182,-41.35,0.0018,0.0993,0.7829,0.116,0.5683,0.6694,0.0487,0.0012,0.0,0.0,0.0
2026-09-05,50000,E,Samoa,5.9099,-26.7137,0.0088,0.3787,0.412,0.2006,0.3281,0.7156,0.0305,0.0017,0.0,0.0,0.0001
2026-09-05,50000,C,Spain,6.6818,-7.0577,0.0603,0.2708,0.5753,0.0936,0.5061,0.8372,0.073,0.0014,0.0,0.0,0.0001
2026-09-05,50000,A,Hong Kong China,2.3593,-86.501,0.0,0.0054,0.4106,0.584,0.1532,0.1586,0.0119,0.0003,0.0,0.0,0.0
2026-09-05,50000,E,United States,2.8567,-71.8027,0.0003,0.1003,0.247,0.6524,0.1561,0.2566,0.0083,0.0002,0.0,0.0,0.0
2026-09-05,50000,D,Portugal,2.6026,-73.9206,0.0004,0.0121,0.4322,0.5553,0.2011,0.2135,0.0035,0.0002,0.0,0.0,0.0
2026-09-05,50000,D,Uruguay,3.0976,-71.7955,0.0004,0.0137,0.5426,0.4433,0.2588,0.2729,0.0035,0.0002,0.0,0.0,0.0
2026-09-05,50000,F,Zimbabwe,1.1962,-100.8792,0.0,0.0112,0.1142,0.8745,0.0536,0.0649,0.0026,0.0001,0.0,0.0,0.0
2026-09-05,50000,B,Romania,0.9265,-118.9456,0.0,0.0044,0.092,0.9036,0.0347,0.0392,0.0003,0.0,0.0,0.0,0.0
2026-09-05,50000,C,Canada,1.2628,-100.3469,0.0001,0.0087,0.105,0.8862,0.0562,0.0651,0.0008,0.0,0.0,0.0,0.0
